date	Aggie.V4.rep1	Aggie.V4.rep2	Aggie.V4.rep3	Aggie.V4-AS.rep1	Aggie.V4-AS.rep2	Aggie.V4-AS.rep3	Barbee.rep1	Barbee.rep2	Barbee.rep3	Barbee-AS.rep1	Barbee-AS.rep2	Barbee-AS.rep3	Morrow.rep1	Morrow.rep2	Morrow.rep3	Holland.rep1	Holland.rep2	Holland.rep3	Aggie.V1.rep1	Aggie.V1.rep2	Aggie.V1.rep3	Aggie.V3.rep1	Aggie.V3.rep2	Aggie.V3.rep3	Aggie.VE.rep1	Aggie.VE.rep2	Aggie.VE.rep3	Haley.rep1	Haley.rep2	Haley.rep3	Cooper.rep1	Cooper.rep2	Cooper.rep3	Pride.rep1	Pride.rep2	Pride.rep3	Aggie.V6.rep1	Aggie.V6.rep2	Aggie.V6.rep3
10/12/22	1416430000000	8001034463	2968320000000	979769000000	5497690000000	7422890000000	730545000000	939606000000	932677000000	236575000000	108174000000	105755000000	2427840000000	960199000000	3684320000000	375396000000	490429000000	671270000000	8381320000000	8277260000000	977333000000	2151880000000	2001200000000	1317680000000	1628090000000	1006990000000	2734860000000	5715000000000	6664780000000	7756540000000	7343520000000	9226150000000	9450980000000	2232360000000	1909180000000	998018000000			
10/13/22	7057300000000	4771000000000	2676600000000	6793500000000	13254000000000	19399000000000	14172000000000	15928000000000	16206000000000	12936000000000	10647000000000	2561000000000	633680000000	311550000000	402100000000	406330000000	330140000000	802630000000	506000000000	733820000000	1080500000000	558010000000	586150000000	233230000000	100670000000	90936000000	226430000000	3628800000000	2900500000000	4576300000000	15724000000000	27278000000000	32858000000000	2002100000000	1858000000000	552450000000			
10/17/22		101689077	6156957464	3548833171	11441000000	24206000000	8267611233	7106545808	4912257747				7118730	255878054	1006529935	8443186182	17820000000		17174000000	35496000000	16371000000	16155000000	12372000000	4933714062	377893905	2246273360	6664152545	6998058815	17698000000	15083000000	164460000000	184080000000	103280000000	9322336413	5380223242	7853864665			
10/19/22	1209104825	4922234479	32658000000	75060000000	65187000000	91083000000	10462000000	14876000000	14267000000	112740000000	96723000000	92780000000	156359752	180988779	1727694318	1037462178	1224247206	3478985450	9259365352	16510000000	9913565006	1748790128	1237592138	1068326747			4476715018	6284897885	12495000000	13448000000	7999781964	53846000000	33349000000		8081085592	6930598636			
10/24/22		54289985		2002007351	879037790	3223779010	56196000000	36155000000	26574000000	103230000000	83272000000	924570602	1585146666	1177639751	2280824145	11894000000	8570792793	58745000000	117510000000	95003000000	143600000000		8935938531	8906227353	1289802856	5760181954	9538646186	17587000000	9740904982	10713000000	24819000000	23127000000	25081000000	9825271787	9178995917	5309437421			
10/26/22	680120117	4191453020	5343575832	2767650082	3623656217	4882666749	77741000000	77983000000	117090000000	107030000000	66910000000	74130000000	32291000000	60054000000	57428000000	7956295852	5790579928	8897667183	33914000000	51459000000	39180000000	29932000000	22092000000	12587000000	562698337	739193933	2257324031	7527370344	10236000000	10943000000	10221000000	9891813608	7701361856	3086647	43001474	7004568			
10/31/22		9264917585	12136000000	955623185	182709	10899000000	69807000000	55235000000	63190000000	4498011929	5994223352	3028277911	896037110	2645787622	2740095959	7858245	4229528523	4148743296	35695000000	25905000000	85840000000	21405000000	18895000000	18457000000	393089336	1727915363	843254534	2098617875	2733475281	3202379499	62183000000	53445000000	39650000000	31525000000	22132000000	17223000000			
11/1/22	2181749953	417255117	11822000000	27379000000	63482000000	43610000000	15996000000	19998000000	16003000000	2466655457	1262381802	616465021	11864000000	18552000000	26955000000	744590440	1070671984	1493376635	47675000000	93744000000	7496760530	17074000000	4809835435	10210000000	39075219	101528371	460415100	40911000000	78193000000	104250000000	373050000000	355820000000	205770000000	34369000000	11457000000				
11/8/22	55193522905	72274408540	59876206337	79832927728	98339129614	92942958012	98085992003	127048000000	118383000000	52892351578	55419810375	39130557550	572945000000	647911000000	49076617619	45540104437	53296665450	44646330875	72603019038	42725724765	122877000000	20717751189	19060186514	39084117	56593185744	69772145246	73330928296	78872092006	71650310686	54647551427	42222441804	41694377484	51341542682	41345403444	63261045307	36052280614			
11/10/22	7707729304	10219000000	10870000000	19311000000	22104000000	15330000000	7268205209	9081217096	9660408035	6622811604	8543270397	6654028895	13364000000	15659000000	17369000000	1810725254	1827952256	1762415445	3814324240	5217878260	4572170856	14605000000	12604000000	7096308156	3510764776	5025340197	6125615905	36475000000	52837000000	37200000000	20453000000	18461000000	34534000000	69876000000	45846000000	44433000000			
11/14/22	34996590248	39578797323	61898688211	29462077845	479652076	28754806961	113614000000	132973000000	106362000000	35142322243	35003964044	2145060845	53977935321	29932251746	47074444844	33673224597	21903571862	33607975378	4662970175	5319265575	5635049819	3715161818	4225931385	1684031292	337541868	333392512	252904692	24281329282	28532862812	25287022714	57572690698	53336439949	51655407524	4144684069	4075596409	2000704395			
11/18/22	46977000000	47539000000	57636000000	70196000000	87174000000	67361000000	9333444416	10944000000	9382821176	7372020976	8765207324	6623628375	9751976994	15219000000	16042000000	729406596	747444023	886320432	5766113372	5559478525	3979940757	16733000000	26951000000	18851000000	3611301713	4338758927	3523348576	31608000000	29135000000	29840000000	43404000000	44094000000	39858000000	4265834306	7183324910	4554366199			
11/28/22	335610000000	786270000000	552370000000	151540000000	55214000000		65894000000	12955000000	3627071433		31630000000	10081000000	6425449959	51405000000	16274000000	66885000000	79865000000	64174000000	6140814786	3295785413	499557503	28774620	5445052094	10989000000	524240000000	503510000000	462710000000	11607000000	23330000000	6727776007	1122135220	3602841442	252440000000	164360000000	71032000000	83467000000			
11/30/22	16498000000	19580000000	22883000000	27883000000	43107000000	11659000000	1412529847		21125000000	25926000000	30366000000	20514000000	4226201951		3999622021	1366937692	1277033338	1070721932	5666944233	127147095	20983000000		6530069946	1540448585	14630000000	6475019935	9368592851	22446000000	27046000000	3562499398	41587		4470095798		296990000000	96135000000			
12/5/22	1854814063	2649267228	2717910505	21048000000	36232000000	34322000000	38348000000	29972000000	39596000000	8253461516	5809176950	1111561	33563000000	34427000000	60355000000	42420000000	28344000000	39883000000	12598000000	15493000000	10388000000	12276000000	11652000000	5083978365	1383929	5071880	5927033	6985535739	2900646966	5131522355	306540000000	178710000000	261690000000	50999000000	41896000000	28094000000			
12/7/22	65521000000	48657000000	45550000000	22120000000	30140000000	24875000000	78500000000	73831000000	65698000000	164350000000	1469400000000	664030000000	12594000000	17699000000	13142000000	4774900000000	3351000000000	1539300000000	2492331651	4813715880	4041755221	2937319171	2967556400	1946632343	493219001	630114895	336933594	107250000000			330390000000	357900000000	210210000000	46920000000	43832000000	41989000000			
